Eating-Out,-63.16
Athletic,-39.41
No-car,-14.99
Athletic,-77.19
Fiscally-irresponsible,-21.2
Athletic,-41.98
Eating-in,-15.06
Fiscally-irresponsible,-25.57
Fiscally-irresponsible,-4.81
Athletic,-106.09
Fiscally-irresponsible,-7.8
Athletic,-7.09
Eating-Out,-13.49
Athletic,-10.09
Eating-Out,-57.96
Eating-Out,-23.33
Sports,-87.33
Athletic,-32.02
No-car,-27.48
Eating-Out,-9.93
Eating-in,-37.61
Sports,-112.22
Sports,-58.94
No-car,-31.89
No-car,-76.48
Eating-in,-75.56
Fiscally-irresponsible,-11.05
Healthy,-27.01
Eating-in,-33.24
Healthy,-6.02
Eating-Out,-1.67
Athletic,-32.84
Healthy,-9.5
Athletic,-96.31
No-car,-35.37
No-car,-36.36
No-car,-79.33
No-car,-16.84
No-car,-5.95
Fiscally-irresponsible,-15.82
Healthy,-16.14
No-car,-96.73
No-car,-60.18
No-car,-26.54
Athletic,-2.99
Eating-in,-91.91
No-car,-29.57
Sports,-26.53
No-car,-0.78
Athletic,-32.62
Coffee,-18.13
Athletic,-28.59
Eating-in,-116.78
Healthy,-2.5
No-car,-22.52
Healthy,-3.13
Athletic,-35.01
Athletic,-89.79
Eating-Out,-8.84
Sports,-11.2
Sports,-8.71
Eating-Out,-4.44
Coffee,-15.56
Fiscally-irresponsible,-30.43
Eating-Out,-84.2
No-car,-11.84
Eating-in,-35.49
Sports,-13.11
No-car,-11.84
Athletic,-51.96
Athletic,-8.81
No-car,-1.92
Healthy,-0.94
Athletic,-112.84
Athletic,-6.52
Athletic,-92.33
No-car,-58.13
Healthy,-3.35
Sports,-4.39
Athletic,-16.69
Healthy,-27.95
Sports,-11.29
Eating-in,-39.98
Eating-in,-37.53
No-car,-27.08
Athletic,-36.24
Sports,-13.99
No-car,-25.56
Sports,-35.93
Fiscally-irresponsible,-37.7
Athletic,-28.99
Athletic,-32.14
Athletic,-23.53
Eating-in,-12.14
Eating-Out,-8.31
Healthy,-53.58
Sports,-0.94
Sports,-34.12
Eating-in,-35.76
No-car,-117.6
Eating-Out,-35.45
Athletic,-13.46
Sports,-36.7
Eating-Out,-9.56
Healthy,-9.75
Sports,-9.43
No-car,-34.58
No-car,-36.98
Eating-in,-9.77
Home/Apartment-Owner,-986.0
Student,-197.0
Student,-135.0
Utility,-25.0
Utility,-53.0
Athletic,-14.87
No-car,-0.86
No-car,-1.75
Athletic,-1.81
Fiscally-irresponsible,-10.17
No-car,-70.37
Healthy,-17.69
Athletic,-14.64
Sports,-14.86
Healthy,-3.86
Athletic,-6.81
Athletic,-13.24
Athletic,-17.45
Eating-in,-9.97
Eating-in,-32.96
Healthy,-24.54
Eating-Out,-6.47
Fiscally-irresponsible,-0.74
Eating-in,-2.09
Athletic,-14.18
Athletic,-32.67
Athletic,-19.55
Healthy,-36.28
Eating-Out,-70.14
Fiscally-irresponsible,-19.14
Eating-in,-32.51
No-car,-5.52
No-car,-1.36
No-car,-16.47
No-car,-3.04
Athletic,-16.89
Sports,-33.51
No-car,-24.24
No-car,-31.98
Sports,-79.4
No-car,-4.52
Eating-Out,-39.08
Eating-in,-1.55
No-car,-36.07
Athletic,-17.41
Eating-in,-61.58
No-car,-19.22
Athletic,-3.54
Eating-in,-16.52
Eating-in,-15.39
No-car,-7.09
Sports,-25.25
Athletic,-19.23
Sports,-75.48
Athletic,-10.76
Healthy,-17.98
Athletic,-8.75
Athletic,-13.49
Athletic,-92.67
Athletic,-27.76
Sports,-8.4
Sports,-25.26
No-car,-30.32
Fiscally-irresponsible,-7.62
Athletic,-7.55
Athletic,-30.31
Fiscally-irresponsible,-6.67
No-car,-14.16
Athletic,-3.17
No-car,-11.99
Coffee,-28.57
Fiscally-irresponsible,-35.01
Athletic,-88.51
No-car,-41.9
Healthy,-15.32
No-car,-9.29
No-car,-32.94
No-car,-26.32
Healthy,-17.26
Eating-Out,-31.57
No-car,-3.7
No-car,-21.92
Eating-in,-1.8
Healthy,-7.13
No-car,-19.81
Sports,-6.4
Athletic,-115.84
Fiscally-irresponsible,-37.21
Sports,-25.63
Athletic,-40.29
Athletic,-22.36
Sports,-27.6
Fiscally-irresponsible,-13.04
Athletic,-89.31
Athletic,-16.32
Eating-in,-89.81
Athletic,-10.75
Fiscally-irresponsible,-92.18
Eating-in,-1.19
Fiscally-irresponsible,-43.38
Athletic,-47.95
No-car,-38.23
Athletic,-32.67
No-car,-33.49
Fiscally-irresponsible,-62.32
Eating-Out,-37.1
No-car,-22.59
Athletic,-8.92
Fiscally-irresponsible,-82.94
Sports,-10.51
No-car,-10.78
No-car,-14.95
Sports,-119.72
Athletic,-3.98
No-car,-21.31
Eating-in,-16.35
Eating-in,-6.29
Healthy,-9.12
Healthy,-3.32
No-car,-51.01
Athletic,-47.15
Healthy,-37.62
Home/Apartment-Owner,-1263.0
Student,-197.0
Student,-135.0
Utility,-25.0
Utility,-53.0
No-car,-32.64
Eating-Out,-20.21
Sports,-29.66
Athletic,-9.09
Healthy,-17.72
Eating-in,-9.19
No-car,-32.88
Athletic,-27.34
Athletic,-33.5
Athletic,-17.22
Eating-in,-9.26
Athletic,-31.99
Sports,-6.57
Athletic,-48.16
Athletic,-5.03
Fiscally-irresponsible,-23.79
Athletic,-24.37
Athletic,-18.33
Sports,-37.09
Sports,-2.57
Fiscally-irresponsible,-8.72
Healthy,-18.99
No-car,-5.82
Healthy,-14.79
No-car,-8.84
Athletic,-68.82
Athletic,-73.21
Athletic,-26.04
Athletic,-15.86
No-car,-13.39
Athletic,-88.14
Sports,-8.86
Healthy,-14.11
Eating-in,-11.51
Healthy,-29.04
Coffee,-22.09
Sports,-11.54
No-car,-29.98
No-car,-0.99
Eating-in,-6.97
Eating-Out,-30.06
Athletic,-8.01
Eating-Out,-1.2
Athletic,-39.46
Eating-in,-15.94
Athletic,-14.32
Athletic,-0.06
Healthy,-22.94
Healthy,-71.78
Sports,-28.25
No-car,-17.13
Fiscally-irresponsible,-38.63
Athletic,-39.46
Athletic,-9.74
Eating-Out,-31.74
No-car,-34.63
Healthy,-71.34
Eating-Out,-5.91
Fiscally-irresponsible,-24.38
No-car,-15.56
Sports,-27.84
Eating-in,-17.57
Healthy,-29.55
Athletic,-34.04
Healthy,-6.3
Fiscally-irresponsible,-1.1
Sports,-35.54
Sports,-99.88
Eating-in,-10.05
Athletic,-36.76
Athletic,-39.82
Athletic,-16.8
Athletic,-7.98
Eating-in,-18.91
Sports,-18.59
Athletic,-29.45
No-car,-22.37
Eating-Out,-10.69
Fiscally-irresponsible,-7.91
Athletic,-33.73
No-car,-32.66
No-car,-1.32
Eating-Out,-15.85
Eating-Out,-5.79
Fiscally-irresponsible,-24.16
Eating-Out,-30.08
No-car,-34.67
No-car,-7.53
Eating-Out,-24.97
Athletic,-29.87
No-car,-0.83
Athletic,-39.26
Sports,-38.08
Athletic,-20.22
Eating-in,-47.97
Eating-Out,-15.57
Athletic,-27.77
Eating-Out,-2.37
No-car,-30.67
No-car,-15.0
No-car,-27.41
No-car,-2.72
Fiscally-irresponsible,-22.95
Eating-Out,-8.42
Sports,-8.82
Eating-in,-8.13
Fiscally-irresponsible,-76.83
Eating-in,-1.87
Eating-Out,-29.95
No-car,-29.77
Athletic,-16.55
Fiscally-irresponsible,-74.31
Home/Apartment-Owner,-1058.0
Student,-197.0
Student,-135.0
Utility,-25.0
Utility,-53.0
No-car,-19.94
No-car,-40.03
Eating-in,-30.2
Healthy,-3.78
Sports,-2.42
Athletic,-20.22
No-car,-14.75
Eating-Out,-11.19
No-car,-2.23
Athletic,-16.05
Healthy,-14.13
Sports,-85.72
No-car,-2.93
Healthy,-67.17
Athletic,-6.98
Coffee,-5.56
Sports,-39.47
Athletic,-12.57
Sports,-19.94
Healthy,-26.84
No-car,-9.3
Eating-Out,-34.69
Healthy,-24.72
Eating-Out,-90.49
Athletic,-7.9
Athletic,-39.13
Athletic,-22.14
No-car,-56.73
Healthy,-1.7
Healthy,-12.08
Healthy,-22.56
No-car,-11.06
Sports,-63.1
No-car,-6.46
Eating-Out,-89.91
Healthy,-31.4
No-car,-27.65
No-car,-0.54
No-car,-19.87
Fiscally-irresponsible,-30.04
Athletic,-10.36
No-car,-80.52
Sports,-2.96
Athletic,-7.36
Healthy,-13.11
Sports,-74.24
Coffee,-114.89
Eating-in,-13.83
Eating-in,-8.89
Sports,-12.42
Athletic,-83.94
Eating-in,-22.33
No-car,-65.22
Eating-in,-23.45
No-car,-20.35
No-car,-25.5
No-car,-10.56
Sports,-13.71
Eating-in,-36.25
Healthy,-1.29
Eating-in,-0.19
Eating-Out,-15.43
Eating-in,-27.41
Eating-Out,-23.56
Athletic,-34.6
No-car,-28.57
Healthy,-21.41
Eating-Out,-0.38
Eating-Out,-7.69
No-car,-37.0
Fiscally-irresponsible,-19.17
No-car,-0.72
Fiscally-irresponsible,-15.79
No-car,-106.45
Athletic,-13.4
Healthy,-19.28
Home/Apartment-Owner,-1160.0
Student,-197.0
Student,-135.0
Utility,-25.0
Utility,-53.0
Divorced,-14.2
Moving,-21.22
Travel,-24.81
No-car,-82.32
No-car,-39.22
Athletic,-21.94
No-car,-3.32
Eating-Out,-17.09
Eating-Out,-74.02
Healthy,-12.91
No-car,-5.82
Athletic,-4.46
Fiscally-irresponsible,-55.82
Eating-Out,-36.39
No-car,-4.84
Athletic,-1.33
Eating-in,-39.95
Healthy,-10.98
Eating-in,-13.42
Athletic,-36.24
Sports,-25.48
No-car,-12.31
No-car,-3.26
Sports,-27.43
Athletic,-26.84
Eating-Out,-6.62
No-car,-11.83
Sports,-0.08
Healthy,-12.32
Athletic,-8.07
Fiscally-irresponsible,-32.65
Athletic,-35.95
