Misc-Entertainment,-4.49
Misc-Entertainment,-16.3
Drinking,-36.73
Musical,-16.64
No-car,-4.34
Eating-in,-7.6
No-car,-29.75
Misc-Entertainment,-9.16
Drinking,-2.74
Movies,-13.99
Misc-Entertainment,-18.73
Drinking,-42.22
Drinking,-41.32
Drinking,-28.19
No-car,-39.16
Misc-Entertainment,-31.39
Drinking,-11.95
Drinking,-28.55
Drinking,-12.48
Drinking,-19.34
Eating-Out,-14.15
Musical,-3.01
Eating-in,-1.14
Misc-Entertainment,-39.34
Drinking,-1.49
Misc-Entertainment,-39.56
Misc-Entertainment,-10.75
No-car,-15.67
Drinking,-35.92
Drinking,-2.26
No-car,-29.14
Drinking,-119.09
Drinking,-7.2
Drinking,-54.02
Drinking,-23.67
Movies,-26.45
Misc-Entertainment,-27.36
Eating-in,-32.26
Eating-in,-15.28
Musical,-55.61
Divorced,-17.23
Moving,-8.25
Travel,-33.84
Drinking,-18.69
Drinking,-8.48
Eating-Out,-24.43
Drinking,-24.5
No-car,-36.03
Movies,-28.13
Drinking,-13.56
No-car,-19.19
Musical,-7.33
No-car,-0.85
Eating-in,-26.54
No-car,-13.24
No-car,-33.82
Drinking,-35.25
Eating-Out,-3.43
Eating-Out,-9.01
Eating-in,-20.14
Eating-in,-55.04
No-car,-11.42
Movies,-35.69
Drinking,-27.27
Eating-Out,-28.77
Drinking,-8.37
Eating-in,-2.58
Eating-in,-29.05
Movies,-63.3
Coffee,-36.11
Drinking,-1.3
Eating-in,-22.22
Drinking,-29.06
No-car,-39.92
Coffee,-33.62
Drinking,-12.37
Misc-Entertainment,-22.22
Misc-Entertainment,-107.29
Eating-in,-37.21
Eating-in,-3.01
Coffee,-21.82
Drinking,-5.44
Drinking,-31.15
Eating-Out,-23.71
Drinking,-9.88
Home/Apartment-Owner,-968.0
Utility,-32.0
Student,-135.0
Cord-cutter,-4.99
Student,-197.0
Utility,-53.0
Credit-Card,-154.0
Utility,-25.0
Misc-Entertainment,-54.53
Misc-Entertainment,-13.8
Musical,-112.22
No-car,-14.15
Drinking,-7.55
Drinking,-7.68
Eating-in,-32.56
Drinking,-78.39
Eating-Out,-15.85
No-car,-107.52
Drinking,-7.43
Drinking,-10.8
No-car,-4.65
Misc-Entertainment,-30.68
No-car,-64.46
Eating-in,-23.06
Drinking,-36.91
No-car,-4.72
Drinking,-24.79
Drinking,-95.45
No-car,-22.25
Misc-Entertainment,-74.67
Drinking,-16.73
Drinking,-7.38
Drinking,-58.69
Musical,-30.51
Eating-Out,-23.94
Drinking,-39.57
Movies,-28.14
Drinking,-19.74
Drinking,-35.22
No-car,-102.85
Eating-Out,-28.74
Drinking,-73.76
Drinking,-23.45
Eating-in,-37.46
Eating-Out,-38.01
Drinking,-9.28
Eating-in,-7.55
Eating-in,-14.17
No-car,-12.72
Drinking,-7.88
No-car,-24.72
No-car,-12.75
Drinking,-106.23
No-car,-21.7
Drinking,-16.48
No-car,-85.02
Drinking,-7.16
Misc-Entertainment,-10.38
Movies,-15.58
Misc-Entertainment,-32.79
Drinking,-15.86
No-car,-2.95
Eating-in,-23.81
Misc-Entertainment,-7.96
Drinking,-82.18
Drinking,-26.56
Drinking,-13.93
Drinking,-34.53
No-car,-32.78
Drinking,-2.37
No-car,-18.67
No-car,-29.14
Eating-in,-39.28
Eating-in,-48.94
Eating-Out,-76.64
Misc-Entertainment,-30.31
Drinking,-27.55
Musical,-39.79
Eating-Out,-22.6
Drinking,-101.28
No-car,-31.46
Eating-in,-4.43
Movies,-26.67
Eating-Out,-10.52
Eating-Out,-1.21
Drinking,-5.73
Misc-Entertainment,-38.08
No-car,-6.33
No-car,-12.83
Eating-in,-0.98
Drinking,-53.65
Eating-Out,-87.5
Drinking,-24.44
No-car,-32.91
No-car,-17.15
Drinking,-21.35
Movies,-102.48
Movies,-4.69
Drinking,-8.57
Eating-Out,-54.39
Drinking,-33.71
Misc-Entertainment,-37.38
Drinking,-39.98
Drinking,-15.53
Movies,-26.87
Movies,-103.76
Drinking,-119.65
Eating-Out,-20.47
Drinking,-15.68
Misc-Entertainment,-118.81
Misc-Entertainment,-31.14
Eating-Out,-39.08
No-car,-17.9
Eating-Out,-11.37
Misc-Entertainment,-25.09
Drinking,-28.04
No-car,-0.88
Misc-Entertainment,-56.64
